,,,,,,,,,,
,,Money Keeper,,,,,,,,
,,Personal Finance Book,,,,,,,,
Transaction Report,,,,,,,,,,
From 6/1/2023 to 12/30/2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Total income,170.836.000,Opening balance,0
,,,,,,,Total expense,758.746.341,Closing balance,-587.910.341
,,,,,,,,,,
,,,,,,,,,,Currency: VND
No,Date,Time,Income amount,Expense amount,Balance,Parent Category,Category,Payee,Event,Description
39,2/27/2026,08:00,       ,  20.000 ,-569.971.064,Food and Dining,Ăn ngoài tiệm(Cty),,,Bánh mì
40,2/26/2026,20:00,       ,  300.000 ,-569.951.064,Gia Đình Lớn,,,,Ck Oanh tiền ăn sn cô Mập
41,2/26/2026,12:00,       ,  60.000 ,-569.651.064,Food and Dining,Ăn ngoài tiệm(Cty),,,Hủ tíu
42,2/26/2026,08:00,       ,  15.000 ,-569.591.064,Food and Dining,Ăn ngoài tiệm(Cty),,,Bánh mì
43,2/25/2026,18:00,       ,  70.000 ,-569.576.064,Food and Dining,Đi siêu thị,,,Bhxanh
44,2/25/2026,12:00,       ,  35.000 ,-569.506.064,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
45,2/25/2026,12:00,       ,  20.000 ,-569.471.064,Food and Dining,Ăn/Uống vặt,,,Nước
46,2/25/2026,10:00,       ,  270.325 ,-569.451.064,Personal,,,,Github copilot
47,2/25/2026,08:00,       ,  20.000 ,-569.180.739,Food and Dining,Ăn ngoài tiệm(Cty),,,Bánh mì
48,2/24/2026,12:00,       ,  30.000 ,-569.160.739,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm
49,2/24/2026,12:00,       ,  20.000 ,-569.130.739,Food and Dining,Ăn/Uống vặt,,,Cafe
50,2/23/2026,12:27,       ,  30.000 ,-569.110.739,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
51,2/23/2026,08:00,       ,  20.000 ,-569.080.739,Food and Dining,Ăn ngoài tiệm(Cty),,,Bánh mì
52,2/22/2026,10:00,       ,  34.000 ,-569.060.739,Food and Dining,Ăn/Uống vặt,,,Nước dừa
53,2/22/2026,09:00,       ,  50.000 ,-569.026.739,Đi lại,Xăng xe,,,
54,2/22/2026,09:00,       ,  2.400.000 ,-568.976.739,Tiệc & Lễ,,,,"Bỏ bao lì xì
Tổng kết dịp tết"
55,2/22/2026,08:54,       ,  243.876 ,-566.576.739,Food and Dining,Đi siêu thị,,,Bhoaxanh
56,2/22/2026,08:54,       ,  310.000 ,-566.332.863,Food and Dining,Đi chợ,,,"60k rau
20k khổ qua
200k cá thác lác"
57,2/21/2026,22:34,       ,  1.750.000 ,-566.022.863,Tiệc & Lễ,,,,"750k tiền xin lễ giỗ ba, tiền ăn đi Long Cung, vv
1tr xiền gói quà đi tết"
58,2/20/2026,15:00,       ,  50.000 ,-564.272.863,Food and Dining,Ăn/Uống vặt,,,Uống cafe vs Lâm
59,2/19/2026,22:00,       ,  100.000 ,-564.222.863,Tiệc & Lễ,,,,Lì xì con bé Gạo(con gái vợ th Đô)
60,2/19/2026,22:00,       ,  50.000 ,-564.122.863,Vui chơi - Giải trí,,,,Loto nhà thờ
61,2/19/2026,10:30,       ,  280.000 ,-564.072.863,Vui chơi - Giải trí,,,,Long Cung
62,2/19/2026,10:00,       ,  55.000 ,-563.792.863,Đi lại,Xăng xe,,,
63,2/19/2026,10:00,       ,  10.000 ,-563.737.863,Đi lại,Gửi xe,,,Long Cung
64,2/19/2026,10:00,       ,  280.000 ,-563.727.863,Vui chơi - Giải trí,,,,2 vé Long Cung
65,2/19/2026,08:00,       ,  40.000 ,-563.447.863,Food and Dining,Đi chợ,,,Mua đồ đi Long Cung
66,2/19/2026,07:30,       ,  20.000 ,-563.407.863,Tiệc & Lễ,,,,Bỏ nhà thờ
67,2/18/2026,21:40,       ,  240.000 ,-563.387.863,Vui chơi - Giải trí,,,,"Lô tô, chơi mấy trò trên hội chợ"
68,2/18/2026,21:30,       ,  70.000 ,-563.147.863,Food and Dining,Ăn ngoài tiệm(Nhà),,,Hủ tíu vs Lâm
69,2/18/2026,14:06,       ,  55.000 ,-563.077.863,Tiệc & Lễ,,,,Bài loto
70,2/18/2026,10:00,       ,  350.000 ,-563.022.863,Tiệc & Lễ,,,,Thùng bia tiger nhỏ
71,2/17/2026,22:51,       ,  100.000 ,-562.672.863,Tiệc & Lễ,,,,Lì xì cô Chuộng
72,2/17/2026,10:20,       ,  100.000 ,-562.572.863,Tiệc & Lễ,,,,Lì xì mấy đứa vớ vẩn
73,2/17/2026,09:59,       ,  100.000 ,-562.472.863,Tiệc & Lễ,,,,Lì xì con a.Đàn
74,2/17/2026,09:59,       ,  1.000.000 ,-562.372.863,Tiệc & Lễ,,,,Lixi mẹ
75,2/17/2026,09:59,       ,  200.000 ,-561.372.863,Tiệc & Lễ,,,,"Lì xì Tom
Mình + Iu"
76,2/17/2026,09:00,  90.000 ,       ,-561.172.863,Awarded,,,,"Cô Hằng lixi 40k
A.Đàn lixi 50k"
77,2/16/2026,20:00,       ,  20.000 ,-561.262.863,Tiệc & Lễ,,,,Bỏ nhà thờ
78,2/16/2026,16:57,       ,  100.000 ,-561.242.863,Health & Fitness,,,,Khẩu trang
79,2/16/2026,15:00,       ,  40.000 ,-561.142.863,Đi lại,Xăng xe,,,
80,2/16/2026,15:00,       ,  350.000 ,-561.102.863,Food and Dining,Ăn nhậu,,,Ăn nhậu nhà Trug
81,2/16/2026,09:00,       ,  1.000.000 ,-560.752.863,Gia Đình Lớn,,,,Cho mẹ mua đồ
82,2/15/2026,17:57,       ,  10.000 ,-559.752.863,Food and Dining,Ăn/Uống vặt,,,Vặt
83,2/15/2026,12:00,       ,  35.000 ,-559.742.863,Food and Dining,Ăn/Uống vặt,,,Bing chun
84,2/15/2026,11:00,       ,  737.000 ,-559.707.863,Mua sắm,,,,Hoà Hạnh
85,2/15/2026,10:00,       ,  17.000 ,-558.970.863,Food and Dining,Ăn/Uống vặt,,,Nc
86,2/15/2026,08:00,       ,  20.000 ,-558.953.863,Tiệc & Lễ,,,,
87,2/14/2026,20:00,       ,  120.000 ,-558.933.863,Food and Dining,Ăn/Uống vặt,,,Chả cá
88,2/14/2026,18:00,       ,  1.288.134 ,-558.813.863,Food and Dining,Đi siêu thị,,,Dẫn mẹ đi sthi
89,2/13/2026,17:00,       ,  6.000 ,-557.525.729,Đi lại,,,,Phà
90,2/13/2026,12:00,       ,  90.000 ,-557.519.729,Food and Dining,Ăn ngoài tiệm(Cty),,,Ăn uống
91,2/13/2026,08:00,       ,  50.000 ,-557.429.729,Đi lại,Xăng xe,,,
92,2/12/2026,12:15,       ,  1.000.000 ,-557.379.729,Gia Đình Lớn,,,,"
1tr Cho mẹ mua đồ ăn"
93,2/12/2026,12:15,       ,  50.000 ,-556.379.729,Food and Dining,Ăn ngoài tiệm(Cty),,,Hủ tíu
94,2/11/2026,12:15,       ,  65.000 ,-556.329.729,Food and Dining,Ăn ngoài tiệm(Cty),,,Bún bò
95,2/10/2026,13:41,       ,  169.858 ,-556.264.729,Mua sắm,,,,Chiếu mây
96,2/10/2026,12:00,       ,  40.000 ,-556.094.871,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
97,2/10/2026,12:00,       ,  20.000 ,-556.054.871,Food and Dining,Ăn/Uống vặt,,,Nc cam
98,2/10/2026,08:00,       ,  30.000 ,-556.034.871,Đi lại,Xăng xe,,,
99,2/9/2026,18:00,       ,  268.000 ,-556.004.871,Food and Dining,Đi siêu thị,,,Bhxanh
100,2/9/2026,11:00,       ,  44.000 ,-555.736.871,Food and Dining,Ăn ngoài tiệm(Nhà),,,Cháo gà tường vy
101,2/8/2026,21:30,       ,  215.000 ,-555.692.871,Food and Dining,Ăn nhậu,,,"Ăn vs Tâm, Cường
Bún đậu A.Chảnh"
102,2/8/2026,18:30,       ,  228.000 ,-555.477.871,Mua sắm,,,,"Dr.diy
"
103,2/8/2026,18:30,       ,  87.778 ,-555.249.871,Vui chơi - Giải trí,,,,Ytbe
104,2/8/2026,17:30,       ,  65.000 ,-555.162.093,Đi lại,,,,"765k sửa xe cô mui
Mui ck 700k
"
105,2/8/2026,13:00,       ,  245.000 ,-555.097.093,Food and Dining,Đi siêu thị,,,"180k th Tâm
95k mình"
106,2/8/2026,12:00,       ,  2.000.000 ,-554.852.093,Gia Đình Lớn,,,,Mực
107,2/8/2026,08:30,       ,  90.000 ,-552.852.093,Food and Dining,Ăn ngoài tiệm(Nhà),,,Cháo hải sản Phát Ký
108,2/7/2026,15:00,       ,  1.835.000 ,-552.762.093,Đi lại,,,,Sửa xe
109,2/5/2026,21:00,       ,  2.100.000 ,-550.927.093,Utilities,Thuê nhà,,,
110,2/5/2026,21:00,       ,  11.500.000 ,-548.827.093,Gia Đình Lớn,,,,"10tr đất cô
1tr mẹ
500k "
111,2/5/2026,12:13,       ,  35.000 ,-537.327.093,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm sườn
112,2/5/2026,12:11,       ,  132.000 ,-537.292.093,Personal,Sách vở,,,"Second brain
The para method"
113,2/4/2026,20:30,       ,  14.000 ,-537.160.093,Đi lại,,,,"Gửi xe 
Mình 6k, thuận 6k, Đăng 2k"
114,2/4/2026,20:30,       ,  20.000 ,-537.146.093,Vui chơi - Giải trí,,,,Gắp thú
115,2/4/2026,12:27,       ,  20.000 ,-537.126.093,Food and Dining,Ăn/Uống vặt,,,Nc cam
116,2/4/2026,12:27,       ,  50.000 ,-537.106.093,Food and Dining,Ăn ngoài tiệm(Cty),,,Hủ tíu
117,2/4/2026,12:26,       ,  299.000 ,-537.056.093,Mua sắm,,,,Quạt kẹp mini
